Month,Avg. Players,Gain,% Gain,Peak Players,Scraped_Time
Last 30 Days,27444.78,+788.8,+2.96%,51218,2024-11-26 19:29:00
October 2024,26655.95,823.19,+3.19%,50754,2024-11-26 19:29:00
September 2024,25832.76,1353.07,+5.53%,57379,2024-11-26 19:29:00
August 2024,24479.69,-481.99,-1.93%,48068,2024-11-26 19:29:00
July 2024,24961.69,3148.98,+14.44%,42923,2024-11-26 19:29:00
June 2024,21812.70,-596.41,-2.66%,40623,2024-11-26 19:29:00
May 2024,22409.11,-3278.94,-12.76%,42906,2024-11-26 19:29:00
April 2024,25688.06,-76.24,-0.30%,53453,2024-11-26 19:29:00
March 2024,25764.30,-3539.13,-12.08%,48570,2024-11-26 19:29:00
February 2024,29303.43,-9350.08,-24.19%,54610,2024-11-26 19:29:00
January 2024,38653.51,-9979.15,-20.52%,72853,2024-11-26 19:29:00
December 2023,48632.66,8391.54,+20.85%,88875,2024-11-26 19:29:00
November 2023,40241.12,-54668.15,-57.60%,81390,2024-11-26 19:29:00
October 2023,94909.27,37649.53,+65.75%,273990,2024-11-26 19:29:00
September 2023,57259.74,40798.33,+247.84%,258880,2024-11-26 19:29:00
August 2023,16461.41,-2424.71,-12.84%,32080,2024-11-26 19:29:00
July 2023,18886.12,4149.45,+28.16%,31956,2024-11-26 19:29:00
June 2023,14736.68,2858.99,+24.07%,30953,2024-11-26 19:29:00
May 2023,11877.68,-4214.25,-26.19%,22434,2024-11-26 19:29:00
April 2023,16091.94,2754.95,+20.66%,31446,2024-11-26 19:29:00
March 2023,13336.98,-1864.84,-12.27%,26135,2024-11-26 19:29:00
February 2023,15201.83,-11678.08,-43.45%,29184,2024-11-26 19:29:00
January 2023,26879.91,-1208.03,-4.30%,43719,2024-11-26 19:29:00
December 2022,28087.94,-3119.04,-9.99%,45266,2024-11-26 19:29:00
November 2022,31206.98,-21987.61,-41.33%,56955,2024-11-26 19:29:00
October 2022,53194.59,9897.49,+22.86%,118285,2024-11-26 19:29:00
September 2022,43297.11,32885.84,+315.87%,136724,2024-11-26 19:29:00
August 2022,10411.26,-1185.74,-10.22%,18695,2024-11-26 19:29:00
July 2022,11597.00,1607.74,+16.09%,19519,2024-11-26 19:29:00
June 2022,9989.26,-895.59,-8.23%,18516,2024-11-26 19:29:00
May 2022,10884.86,-1558.02,-12.52%,24052,2024-11-26 19:29:00
April 2022,12442.88,-5237.85,-29.62%,23181,2024-11-26 19:29:00
March 2022,17680.72,-4295.04,-19.54%,35109,2024-11-26 19:29:00
February 2022,21975.77,7456.08,+51.35%,59061,2024-11-26 19:29:00
January 2022,14519.69,-2253.98,-13.44%,27587,2024-11-26 19:29:00
December 2021,16773.66,6331.45,+60.63%,30227,2024-11-26 19:29:00
November 2021,10442.22,2438.63,+30.47%,28779,2024-11-26 19:29:00
October 2021,8003.59,-2229.10,-21.78%,16250,2024-11-26 19:29:00
September 2021,10232.70,-199.64,-1.91%,19706,2024-11-26 19:29:00
August 2021,10432.34,798.38,+8.29%,21483,2024-11-26 19:29:00
July 2021,9633.97,769.52,+8.68%,17110,2024-11-26 19:29:00
June 2021,8864.45,-1523.92,-14.67%,15703,2024-11-26 19:29:00
May 2021,10388.37,-2606.15,-20.06%,17885,2024-11-26 19:29:00
April 2021,12994.52,-151.32,-1.15%,25322,2024-11-26 19:29:00
March 2021,13145.84,-11559.00,-46.79%,22890,2024-11-26 19:29:00
February 2021,24704.84,-57441.83,-69.93%,47115,2024-11-26 19:29:00
January 2021,82146.66,-250248.99,-75.29%,225670,2024-11-26 19:29:00
December 2020,332395.65,-,-,830387,2024-11-26 19:29:00
